Authority.Name,Fiscal.Year.End.Date,Cash.And.Cash.Equivalents,Investments,Receivables..Net,Other.Assets..Current.,Total.Current.Assets,Restricted.Cash.And.Investments,Long.Term.Receivables..Net,Other.Assets..Noncurrent.,Land.And.Other.Non.Depreciable.Property,Buildings.And.Equipment,Infrastructure,Accumulated.Depreciation,Net.Capital.Assets,Total.Noncurrent.Assets,Total.Assets,Accounts.Payable,Pension.Contribution.Payable..Current.,Other.Post.Employment.Benefits..Current.,Accrued.Liabilities,Deferred.Revenues,Bonds.And.Notes.Payable..Current.,Other.Long.Term.Obligations.Due.Within.One.Year,Total.Current.Liabilities,Pension.Contribution.Payable..Noncurrent.,Other.Post.Employment.Benefits..Noncurrent.,Bonds.And.Notes.Payable..Noncurrent.,Long.Term.Leases,Other.Long.Term.Obligations,Total.Noncurrent.Liabilities,Total.Liabilities,Invested.In.Capital.Assets..Net.Of.Related.Debt,Restricted.Net.Assets,Unrestricted.Net.Assets,Total.Net.Assets,Charges.For.Services,Rental.And.Financing.Income,Other.Operating.Revenues,Total.Operating.Revenue,Salaries.And.Wages,Other.Employee.Benefits,Professional.Services.Contracts,Supplies.And.Materials,Depreciation.And.Amortization,Other.Operating.Expenses,Total.Operating.Expenses,Operating.Income..Loss.,Investment.Earnings,State.Subsidies...Grants,Federal.Subsidies...Grants,Municipal.Subsidies...Grants,Public.Authority.Subsidies,Other.Non.operating.Revenues,Total.Non.Operating.Revenue,Interest.And.Other.Financing.Charges,Subsidies.To.Other.Public.Authorities,Grants.And.Donations,Other.Non.Operating.Expenses,Total.Non.Operating.Expenses,Income..Loss..Before.Contributions,Capital.Contributions,Change.in.net.assets,Net.Assets..Deficit..Beginning.Of.Year,Other.Net.Assets.Changes,Net.Assets..Deficit..At.End.Of.Year,,
Clinton County Capital Resource Corporation,9/30/2024,72568.10,0.00,500.00,0.00,73068.10,0.00,40000.00,0.00,0.00,0.00,0.00,0.00,0.00,40000.00,113068.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40000.00,40000.00,40000.00,0.00,0.00,73068.10,73068.10,2400.00,0.00,5000.00,7400.00,0.00,0.00,15100.00,0.00,0.00,0.00,15100.00,-7700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7700.00,0.00,-7700.00,80768.10,0.00,73068.10,113068.10,OK
Broome County Land Bank,9/30/2024,465320.00,0.00,341638.00,0.00,806958.00,850148.00,0.00,842540.00,0.00,0.00,0.00,0.00,0.00,1692688.00,2499646.00,50604.00,0.00,0.00,0.00,850148.00,0.00,0.00,900752.00,0.00,0.00,0.00,0.00,0.00,0.00,900752.00,0.00,0.00,1598894.00,1598894.00,0.00,0.00,1073270.00,1073270.00,102754.00,0.00,149646.00,21994.00,0.00,387095.00,661489.00,411781.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411781.00,0.00,411781.00,1187113.00,0.00,1598894.00,2499646.00,OK
Broome County Local Development Corporation,9/30/2024,2225960.00,0.00,75000.00,261647.00,2562607.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2562607.00,0.00,0.00,0.00,0.00,1825000.00,0.00,0.00,1825000.00,0.00,0.00,0.00,0.00,0.00,0.00,1825000.00,0.00,0.00,737607.00,737607.00,0.00,0.00,9082621.00,9082621.00,0.00,0.00,0.00,0.00,0.00,9057342.00,9057342.00,25279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25279.00,0.00,25279.00,712328.00,0.00,737607.00,2562607.00,OK
Buffalo and Erie County Industrial Land Development Corporation,9/30/2024,417701.00,0.00,9314250.00,0.00,9731951.00,0.00,362312.00,6875104.00,0.00,184285.00,0.00,5192.00,179093.00,7416509.00,17148460.00,880331.00,0.00,0.00,0.00,4163198.00,0.00,4519375.00,9562904.00,0.00,0.00,0.00,0.00,0.00,0.00,9562904.00,179093.00,539928.00,6866535.00,7585556.00,0.00,20025.00,11200.00,31225.00,0.00,0.00,32361.00,0.00,2267.00,253586.00,288214.00,-256989.00,3695.00,3605234.00,2687217.00,245175.00,210331.00,0.00,6751652.00,0.00,0.00,0.00,6258766.00,6258766.00,235897.00,0.00,235897.00,7349659.00,0.00,7585556.00,17148460.00,OK
Buffalo and Erie County Regional Development Corporation,9/30/2024,4287457.00,0.00,3856264.00,0.00,8143721.00,0.00,14852212.00,0.00,0.00,0.00,0.00,0.00,0.00,14852212.00,22995933.00,2041.00,0.00,0.00,0.00,12509.00,0.00,300328.00,314878.00,0.00,0.00,0.00,0.00,0.00,0.00,314878.00,0.00,4603316.00,18077739.00,22681055.00,21250.00,652208.00,0.00,673458.00,0.00,0.00,38358.00,667.00,0.00,285459.00,324484.00,348974.00,72599.00,0.00,84596.00,0.00,0.00,0.00,157195.00,0.00,0.00,0.00,0.00,0.00,506169.00,0.00,506169.00,22174886.00,0.00,22681055.00,22995933.00,OK
Buffalo Erie Niagara Land Improvement Corporation,9/30/2024,2038262.00,987190.00,10521.00,4542.00,3040515.00,0.00,0.00,1317980.00,0.00,0.00,0.00,0.00,0.00,1317980.00,4358495.00,96445.00,0.00,0.00,0.00,0.00,0.00,442229.00,538674.00,0.00,0.00,0.00,0.00,0.00,0.00,538674.00,0.00,0.00,3819821.00,3819821.00,0.00,0.00,1441755.00,1441755.00,338748.00,23416.00,129648.00,53074.00,0.00,1837546.00,2382432.00,-940677.00,0.00,199530.00,0.00,0.00,0.00,2103.00,201633.00,0.00,0.00,0.00,8844.00,8844.00,-747888.00,0.00,-747888.00,4567709.00,0.00,3819821.00,4358495.00,OK
Buffalo Urban Development Corporation,9/30/2024,16542113.00,0.00,89350024.00,5749149.00,111641286.00,460544.00,9666400.00,943071.00,6404202.00,122758404.00,0.00,20730421.00,108432185.00,119502200.00,231143486.00,493866.00,0.00,0.00,34201.00,104383474.00,469938.00,570000.00,105951479.00,0.00,0.00,13629812.00,0.00,26742613.00,40372425.00,146323904.00,87650447.00,233780.00,-3064645.00,84819582.00,0.00,2151136.00,897001.00,3048137.00,330672.00,109889.00,2116922.00,0.00,4138093.00,30743515.00,37439091.00,-34390954.00,126418.00,470184.00,36109.00,123238.00,200000.00,30811296.00,31767245.00,197771.00,0.00,0.00,0.00,197771.00,-2821480.00,42311.00,-2779169.00,87598751.00,0.00,84819582.00,231143486.00,OK
"Canandaigua Local Development Corporation, Inc",9/30/2024,13815.00,76696.00,0.00,0.00,90511.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90511.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90511.00,90511.00,0.00,0.00,0.00,0.00,0.00,0.00,86690.00,0.00,0.00,8.00,86698.00,-86698.00,2309.00,0.00,0.00,60000.00,0.00,0.00,62309.00,0.00,0.00,0.00,0.00,0.00,-24389.00,0.00,-24389.00,114900.00,0.00,90511.00,90511.00,OK
Cape Vincent Local Development Corporation,9/30/2024,123384.00,0.00,0.00,5625.00,129009.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129009.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129009.00,129009.00,0.00,0.00,0.00,0.00,0.00,0.00,53129.00,1541.00,0.00,2903.00,57573.00,-57573.00,124.00,0.00,0.00,186458.00,0.00,0.00,186582.00,0.00,0.00,0.00,0.00,0.00,129009.00,0.00,129009.00,0.00,0.00,129009.00,129009.00,OK
Capitalize Albany Corporation,9/30/2024,1719486.00,6384679.00,906066.00,364790.00,9375021.00,3184933.00,618312.00,63800.00,10617340.00,4876650.00,209936.00,4194904.00,11509022.00,15376067.00,24751088.00,437796.00,0.00,0.00,0.00,2931925.00,255000.00,59521.00,3684242.00,0.00,0.00,0.00,0.00,2072038.00,2072038.00,5756280.00,11254022.00,115320.00,7625466.00,18994808.00,872091.00,284672.00,32500.00,1189263.00,863824.00,259808.00,318303.00,4220.00,191558.00,259763.00,1897476.00,-708213.00,437062.00,531560.00,1100000.00,188465.00,415843.00,156615.00,2829545.00,11881.00,0.00,188465.00,140285.00,340631.00,1780701.00,0.00,1780701.00,17188210.00,25897.00,18994808.00,24751088.00,OK
Carthage Industrial Development Corporation,9/30/2024,491288.00,849410.00,21972.00,0.00,1362670.00,185668.00,0.00,24763.00,0.00,2655004.00,0.00,0.00,2655004.00,2865435.00,4228105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185668.00,4042437.00,4228105.00,0.00,132308.00,31586.00,163894.00,0.00,0.00,10300.00,0.00,97687.00,0.00,107987.00,55907.00,9833.00,0.00,0.00,0.00,0.00,0.00,9833.00,0.00,0.00,20000.00,5783.00,25783.00,39957.00,0.00,39957.00,4188148.00,0.00,4228105.00,4228105.00,OK
Catskill Watershed Corporation,9/30/2024,122093860.00,11184395.00,3425289.00,155232.00,136858776.00,9352934.00,21885132.00,0.00,480002.00,19174290.00,0.00,2493605.00,17160687.00,48398753.00,185257529.00,2319618.00,0.00,0.00,0.00,171608603.00,0.00,0.00,173928221.00,0.00,0.00,0.00,0.00,0.00,0.00,173928221.00,17160687.00,0.00,-5831379.00,11329308.00,0.00,0.00,27171179.00,27171179.00,1674646.00,792634.00,379638.00,13647.00,592848.00,26675602.00,30129015.00,-2957836.00,5563238.00,0.00,0.00,0.00,0.00,0.00,5563238.00,0.00,0.00,0.00,0.00,0.00,2605402.00,0.00,2605402.00,8723906.00,0.00,11329308.00,185257529.00,OK
Cattaraugus County Capital Resource Corporation,9/30/2024,435800.00,0.00,0.00,0.00,435800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435800.00,435800.00,0.00,0.00,0.00,0.00,0.00,0.00,5020.00,0.00,0.00,0.00,5020.00,-5020.00,12162.00,0.00,0.00,0.00,0.00,0.00,12162.00,0.00,0.00,0.00,0.00,0.00,7142.00,0.00,7142.00,428658.00,0.00,435800.00,435800.00,OK
Cattaraugus County Economic Sustainability and Growth Corporation,9/30/2024,332018.00,0.00,184369.00,0.00,516387.00,0.00,148536.00,0.00,0.00,0.00,0.00,0.00,0.00,148536.00,664923.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664923.00,664923.00,0.00,0.00,113787.00,113787.00,0.00,0.00,13787.00,0.00,0.00,100000.00,113787.00,0.00,8255.00,0.00,0.00,0.00,0.00,0.00,8255.00,0.00,0.00,0.00,0.00,0.00,8255.00,0.00,8255.00,656668.00,0.00,664923.00,664923.00,OK
Cattaraugus County Land Bank Corporation,9/30/2024,1049246.00,0.00,0.00,28000.00,1077246.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1077246.00,123596.00,0.00,0.00,0.00,0.00,0.00,0.00,123596.00,0.00,0.00,0.00,0.00,0.00,0.00,123596.00,0.00,0.00,953650.00,953650.00,0.00,0.00,620074.00,620074.00,0.00,0.00,146824.00,0.00,0.00,34462.00,181286.00,438788.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,438788.00,0.00,438788.00,514862.00,0.00,953650.00,1077246.00,OK
Cayuga Tobacco Asset Securitization Corporation,9/30/2024,0.00,0.00,1750890.00,2262.00,1753152.00,0.00,1181522.00,0.00,0.00,0.00,0.00,0.00,0.00,1181522.00,2934674.00,0.00,0.00,0.00,57284.00,0.00,0.00,6879509.00,6936793.00,0.00,0.00,23748377.00,0.00,0.00,23748377.00,30685170.00,0.00,2913109.00,-30663605.00,-27750496.00,0.00,50531.00,1182577.00,1233108.00,0.00,0.00,0.00,0.00,0.00,49601.00,49601.00,1183507.00,5051.00,0.00,0.00,0.00,0.00,0.00,5051.00,2052003.00,0.00,0.00,49601.00,2101604.00,-913046.00,0.00,-913046.00,-26882000.00,44550.00,-27750496.00,2934674.00,OK
Chautauqua County Capital Resource Corporation,9/30/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OK
Chautauqua County Land Bank Corporation,9/30/2024,521957.00,517481.00,0.00,0.00,1039438.00,0.00,0.00,585107.00,0.00,0.00,0.00,0.00,0.00,585107.00,1624545.00,27.00,0.00,0.00,0.00,39541.00,0.00,63200.00,102768.00,0.00,0.00,0.00,0.00,0.00,0.00,102768.00,0.00,0.00,1521777.00,1521777.00,146417.00,0.00,514478.00,660895.00,198687.00,38256.00,38620.00,1651.00,0.00,70205.00,347419.00,313476.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313476.00,0.00,313476.00,1208301.00,0.00,1521777.00,1624545.00,OK
Chautauqua Region Economic Development Corporation,9/30/2024,1004046.00,0.00,335323.00,2583.00,1341952.00,0.00,1022398.00,0.00,30488.00,0.00,0.00,0.00,30488.00,1052886.00,2394838.00,24960.00,0.00,0.00,3641.00,1817765.00,0.00,0.00,1846366.00,0.00,0.00,0.00,0.00,0.00,0.00,1846366.00,30488.00,0.00,517984.00,548472.00,0.00,15949.00,5000.00,20949.00,238355.00,99820.00,409903.00,8057.00,0.00,127314.00,883449.00,-862500.00,0.00,0.00,0.00,230001.00,0.00,1202959.00,1432960.00,0.00,0.00,592467.00,-82000.00,510467.00,59993.00,0.00,59993.00,488479.00,0.00,548472.00,2394838.00,OK
Chautauqua Tobacco Asset Securitization Corporation,9/30/2024,0.00,0.00,0.00,0.00,0.00,2492394.00,74069715.00,20493.00,0.00,0.00,0.00,0.00,0.00,76582602.00,76582602.00,0.00,0.00,0.00,0.00,0.00,2470000.00,0.00,2470000.00,0.00,0.00,112488608.00,0.00,0.00,112488608.00,114958608.00,0.00,2492394.00,-40868400.00,-38376006.00,0.00,0.00,2555054.00,2555054.00,0.00,0.00,80962.00,2158165.00,0.00,0.00,2239127.00,315927.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315927.00,0.00,315927.00,-38691933.00,0.00,-38376006.00,76582602.00,OK
Chemung County Capital Resource Corporation,9/30/2024,143604.00,0.00,63278.00,0.00,206882.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206882.00,37812.00,0.00,0.00,15851.00,276141.00,0.00,0.00,329804.00,0.00,0.00,0.00,0.00,0.00,0.00,329804.00,0.00,0.00,-122922.00,-122922.00,0.00,0.00,606994.00,606994.00,0.00,0.00,323008.00,0.00,0.00,545515.00,868523.00,-261529.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-261529.00,0.00,-261529.00,138607.00,0.00,-122922.00,206882.00,OK
Chemung County Property Development Corporation,9/30/2024,154892.00,0.00,0.00,12278.00,167170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167170.00,94706.00,0.00,0.00,0.00,0.00,0.00,0.00,94706.00,0.00,0.00,0.00,0.00,0.00,0.00,94706.00,0.00,0.00,72464.00,72464.00,0.00,0.00,260782.00,260782.00,0.00,0.00,15430.00,0.00,0.00,642935.00,658365.00,-397583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-397583.00,0.00,-397583.00,470047.00,0.00,72464.00,167170.00,OK
Chemung Tobacco Asset Securitization Corporation,9/30/2024,396450.00,0.00,620708.00,0.00,1017158.00,663081.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,663081.00,1680239.00,0.00,0.00,0.00,0.00,0.00,2561018.00,0.00,2561018.00,0.00,0.00,0.00,0.00,0.00,0.00,2561018.00,0.00,1680239.00,-2561018.00,-880779.00,0.00,0.00,628685.00,628685.00,0.00,0.00,7810.00,0.00,0.00,24727.00,32537.00,596148.00,39463.00,0.00,0.00,0.00,0.00,0.00,39463.00,185938.00,0.00,0.00,0.00,185938.00,449673.00,0.00,449673.00,-1330452.00,0.00,-880779.00,1680239.00,OK
City of Albany Capital Resource Corporation,9/30/2024,542410.00,0.00,0.00,0.00,542410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542410.00,120516.00,0.00,0.00,0.00,0.00,0.00,0.00,120516.00,0.00,0.00,0.00,0.00,0.00,0.00,120516.00,0.00,0.00,421894.00,421894.00,500.00,0.00,0.00,500.00,0.00,0.00,4600.00,0.00,0.00,1696.00,6296.00,-5796.00,884.00,0.00,0.00,0.00,0.00,0.00,884.00,0.00,0.00,170000.00,0.00,170000.00,-174912.00,0.00,-174912.00,596806.00,0.00,421894.00,542410.00,OK
City of Binghamton Water Street Development Corporation,9/30/2024,2509265.00,0.00,5408.00,0.00,2514673.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2514673.00,208202.00,0.00,0.00,0.00,0.00,0.00,0.00,208202.00,0.00,0.00,0.00,0.00,0.00,0.00,208202.00,0.00,0.00,2306471.00,2306471.00,0.00,0.00,6517907.00,6517907.00,0.00,0.00,4716383.00,0.00,0.00,0.00,4716383.00,1801524.00,33498.00,0.00,0.00,0.00,0.00,0.00,33498.00,0.00,0.00,0.00,0.00,0.00,1835022.00,0.00,1835022.00,471449.00,0.00,2306471.00,2514673.00,OK
City of Kingston Local Development Corporation,9/30/2024,2054345.00,1546473.00,0.00,91864.00,3692682.00,0.00,178286.00,4159502.00,2853186.00,0.00,0.00,0.00,2853186.00,7190974.00,10883656.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3767708.00,0.00,3767708.00,3767708.00,2853186.00,0.00,4262762.00,7115948.00,12141.00,205522.00,50797.00,268460.00,30000.00,0.00,20298.00,5953.00,0.00,52728.00,108979.00,159481.00,51381.00,0.00,0.00,0.00,0.00,0.00,51381.00,0.00,0.00,0.00,0.00,0.00,210862.00,0.00,210862.00,6905086.00,0.00,7115948.00,10883656.00,OK
City of Peekskill Local Development Corporation,9/30/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,OK
City of Troy Capital Resource Corporation,9/30/2024,186883.00,0.00,0.00,0.00,186883.00,0.00,215000.00,0.00,0.00,0.00,0.00,0.00,0.00,215000.00,401883.00,15834.00,0.00,0.00,0.00,0.00,0.00,0.00,15834.00,0.00,0.00,0.00,0.00,0.00,0.00,15834.00,0.00,0.00,386049.00,386049.00,4500.00,0.00,0.00,4500.00,0.00,0.00,17674.00,0.00,0.00,44039.00,61713.00,-57213.00,3270.00,0.00,0.00,0.00,0.00,0.00,3270.00,0.00,0.00,0.00,0.00,0.00,-53943.00,0.00,-53943.00,439992.00,0.00,386049.00,401883.00,OK
City of Watertown Local Development Corporation,9/30/2024,360144.00,3675378.00,5401460.00,0.00,9436982.00,0.00,0.00,0.00,0.00,278005.00,0.00,0.00,278005.00,278005.00,9714987.00,0.00,0.00,0.00,0.00,0.00,0.00,6174.00,6174.00,0.00,0.00,0.00,279648.00,0.00,279648.00,285822.00,0.00,0.00,9429165.00,9429165.00,8704.00,222538.00,679291.00,910533.00,159708.00,86293.00,22328.00,14097.00,1246.00,371345.00,655017.00,255516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,405472.00,0.00,405472.00,-149956.00,0.00,-149956.00,9579121.00,0.00,9429165.00,9714987.00,OK
Clayton Local Development Corporation,9/30/2024,9939.00,0.00,10900.00,100.00,20939.00,1774.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1774.00,22713.00,3042.00,0.00,0.00,0.00,0.00,0.00,0.00,3042.00,0.00,0.00,0.00,0.00,0.00,0.00,3042.00,0.00,0.00,19671.00,19671.00,48500.00,0.00,2.00,48502.00,0.00,0.00,49349.00,0.00,0.00,0.00,49349.00,-847.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-847.00,0.00,-847.00,20518.00,0.00,19671.00,22713.00,OK
Columbia County Capital Resource Corporation,9/30/2024,1110.00,0.00,0.00,0.00,1110.00,0.00,0.00,106.00,0.00,0.00,0.00,0.00,0.00,106.00,1216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1216.00,1216.00,0.00,0.00,5000.00,5000.00,0.00,0.00,3000.00,60.00,0.00,1315.00,4375.00,625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,625.00,0.00,625.00,591.00,0.00,1216.00,1216.00,OK
Columbia Economic Development Corporation,9/30/2024,733640.00,410802.00,645723.00,0.00,1790165.00,507622.00,2074746.00,210591.00,232900.00,50423.00,0.00,41194.00,242129.00,3035088.00,4825253.00,26704.00,0.00,0.00,16575.00,109809.00,163768.00,32348.00,349204.00,0.00,0.00,1060843.00,189990.00,474696.00,1725529.00,2074733.00,-5718.00,647564.00,2108674.00,2750520.00,40000.00,85886.00,555216.00,681102.00,565163.00,0.00,204331.00,104118.00,41937.00,234914.00,1150463.00,-469361.00,40300.00,0.00,0.00,460000.00,0.00,0.00,500300.00,14935.00,0.00,0.00,0.00,14935.00,16004.00,0.00,16004.00,2734516.00,0.00,2750520.00,4825253.00,OK
Columbia Tobacco Asset Securitization Corporation,9/30/2024,15421.00,0.00,949662.00,2233.00,967316.00,1030231.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030231.00,1997547.00,13206.00,0.00,0.00,23732.00,0.00,0.00,0.00,36938.00,0.00,0.00,22116959.00,0.00,-43893.00,22073066.00,22110004.00,0.00,0.00,-20112457.00,-20112457.00,0.00,0.00,935163.00,935163.00,0.00,0.00,7250.00,0.00,5859.00,29996.00,43105.00,892058.00,58938.00,0.00,0.00,0.00,0.00,0.00,58938.00,0.00,0.00,0.00,1467030.00,1467030.00,-516034.00,0.00,-516034.00,-19596423.00,0.00,-20112457.00,1997547.00,OK
Cortland County Business Development Corporation,9/30/2024,1053040.00,0.00,93024.00,71474.00,1217538.00,0.00,20620.00,0.00,0.00,25570.00,0.00,23099.00,2471.00,23091.00,1240629.00,19041.00,0.00,0.00,2722.00,17967.00,0.00,0.00,39730.00,0.00,0.00,0.00,0.00,0.00,0.00,39730.00,0.00,799693.00,401206.00,1200899.00,0.00,19559.00,77000.00,96559.00,296392.00,83844.00,26532.00,66783.00,1504.00,258983.00,734038.00,-637479.00,0.00,0.00,0.00,680693.00,0.00,0.00,680693.00,0.00,0.00,0.00,0.00,0.00,43214.00,0.00,43214.00,1157685.00,0.00,1200899.00,1240629.00,OK
Cortland County Development Corporation,9/30/2024,149610.00,0.00,0.00,0.00,149610.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149610.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149610.00,149610.00,0.00,0.00,0.00,0.00,0.00,0.00,1350.00,0.00,0.00,0.00,1350.00,-1350.00,102.00,0.00,0.00,0.00,0.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,-1248.00,0.00,-1248.00,150858.00,0.00,149610.00,149610.00,OK
Cortland Tobacco Asset Securitization Corporation,9/30/2024,232378.00,0.00,0.00,4285.00,236663.00,811040.00,638984.00,0.00,0.00,0.00,0.00,0.00,0.00,1450024.00,1686687.00,0.00,0.00,0.00,18794.00,0.00,375249.00,0.00,394043.00,0.00,0.00,12401832.00,0.00,0.00,12401832.00,12795875.00,0.00,811040.00,-11920228.00,-11109188.00,544081.00,0.00,0.00,544081.00,0.00,0.00,30914.00,0.00,0.00,15437.00,46351.00,497730.00,53930.00,0.00,0.00,0.00,0.00,0.00,53930.00,796691.00,0.00,0.00,0.00,796691.00,-245031.00,0.00,-245031.00,-10864157.00,0.00,-11109188.00,1686687.00,OK
Counties of Warren and Washington Civic Development Corporation,9/30/2024,156572.00,0.00,0.00,0.00,156572.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156572.00,67200.00,0.00,0.00,0.00,22400.00,0.00,0.00,89600.00,0.00,0.00,0.00,0.00,0.00,0.00,89600.00,0.00,0.00,66972.00,66972.00,7500.00,0.00,0.00,7500.00,0.00,0.00,2205.00,0.00,0.00,750000.00,752205.00,-744705.00,13703.00,0.00,0.00,0.00,0.00,0.00,13703.00,0.00,0.00,0.00,0.00,0.00,-731002.00,0.00,-731002.00,797974.00,0.00,66972.00,156572.00,OK
Delaware County Local Development Corporation,9/30/2024,48430.00,0.00,753249.00,0.00,801679.00,1466839.00,2683441.00,0.00,407000.00,0.00,0.00,0.00,407000.00,4557280.00,5358959.00,225.00,0.00,0.00,3476.00,0.00,400962.00,86178.00,490841.00,0.00,0.00,0.00,0.00,2312997.00,2312997.00,2803838.00,0.00,1423276.00,1131845.00,2555121.00,0.00,114557.00,205450.00,320007.00,0.00,0.00,26046.00,0.00,0.00,214351.00,240397.00,79610.00,1602.00,1009363.00,0.00,0.00,0.00,0.00,1010965.00,0.00,0.00,827317.00,0.00,827317.00,263258.00,0.00,263258.00,2291863.00,0.00,2555121.00,5358959.00,OK
Development Chenango Corporation,9/30/2024,198950.90,1817953.80,15830.50,1319.80,2034055.00,0.00,722271.50,0.00,0.00,1139155.70,0.00,186891.80,952263.90,1674535.40,3708590.40,27745.10,0.00,0.00,0.00,0.00,0.00,10806.60,38551.70,0.00,0.00,0.00,0.00,129539.10,129539.10,168090.80,0.00,0.00,3540499.70,3540499.70,172823.10,54039.10,15852.60,242714.70,0.00,0.00,164029.70,0.00,0.00,100804.70,264834.40,-22119.70,179316.30,0.00,0.00,0.00,0.00,42000.00,221316.30,15929.50,0.00,0.00,80551.80,96481.30,102715.30,0.00,102715.30,3437759.40,25.00,3540499.70,3708590.40,OK
Dobbs Ferry Local Development Corporation,9/30/2024,53118.00,2000.00,0.00,0.00,55118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55118.00,572.00,0.00,0.00,0.00,0.00,0.00,0.00,572.00,0.00,0.00,0.00,0.00,0.00,0.00,572.00,0.00,0.00,54546.00,54546.00,0.00,2000.00,0.00,2000.00,0.00,0.00,7942.00,0.00,0.00,0.00,7942.00,-5942.00,1373.00,0.00,0.00,0.00,0.00,0.00,1373.00,0.00,0.00,0.00,0.00,0.00,-4569.00,0.00,-4569.00,59115.00,0.00,54546.00,55118.00,OK
